A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Frank Mir,Wes Sims,Heavyweight,DQ,2003.0,LasVegas,75.0,264.0,79.0,Southpaw,1979.0,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,82.0,260.0,--,Orthodox,1979.0,0.98,51.0,2.95,37.0,0.0,0.0,40.0,2.3
Yves Edwards,Eddie Ruiz,Lightweight,U-DEC,2003.0,LasVegas,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,67.0,155.0,--,Orthodox,1967.0,0.2,25.0,1.4,47.0,2.0,12.0,0.0,0.0
Falaniko Vitale,Matt Lindland,Middleweight,KO/TKO,2003.0,LasVegas,70.0,185.0,--,Orthodox,1974.0,1.88,49.0,3.68,47.0,0.72,33.0,86.0,0.0,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3
Pedro Rizzo,Tra Telligman,Heavyweight,KO/TKO,2003.0,LasVegas,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0,74.0,233.0,--,Orthodox,1965.0,1.83,35.0,3.02,56.0,0.87,100.0,80.0,0.0
Matt Hughes,Sean Sherk,Welterweight,U-DEC,2003.0,Miami,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,66.0,155.0,67.0,Orthodox,1973.0,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4
Pete Spratt,Robbie Lawler,Welterweight,SUB,2003.0,Miami,69.0,170.0,--,Orthodox,1971.0,1.63,48.0,1.33,55.0,0.3,100.0,46.0,0.3,71.0,170.0,74.0,Southpaw,1982.0,3.83,46.0,4.67,59.0,0.65,64.0,65.0,0.0
Dave Strasser,Romie Aram,Welterweight,U-DEC,2003.0,Miami,70.0,170.0,--,Orthodox,1969.0,3.04,45.0,1.88,59.0,0.72,33.0,33.0,0.0,70.0,170.0,--,Orthodox,1977.0,1.8,35.0,2.83,50.0,2.5,62.0,83.0,0.0
Wesley Correira,Sean Alvarez,Heavyweight,KO/TKO,2003.0,Miami,75.0,260.0,--,Orthodox,1978.0,2.6,36.0,8.8,40.0,0.0,0.0,90.0,0.0,72.0,235.0,--,Orthodox,1971.0,0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0
Rich Franklin,Evan Tanner,Light Heavyweight,KO/TKO,2003.0,Miami,73.0,185.0,76.0,Southpaw,1974.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3
Duane Ludwig,Genki Sudo,Lightweight,U-DEC,2003.0,Miami,70.0,170.0,70.0,Orthodox,1978.0,4.62,44.0,3.05,57.0,0.43,25.0,59.0,0.1,69.0,155.0,--,Orthodox,1978.0,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2
